Provinsi;Persentase_NEET;Angka_Melek_Huruf;Remaja_dengan_TIK;lon;lat
Aceh;24,38;99,99;83,84;4.695135;96.7493993
Bali;14,52;99,95;97,23;2.1153547;99.5450974
Banten;26,52;99,94;93,03;-0.7399397;100.8000051
Bengkulu;22,75;99,87;90,44;0.2933469;101.7068294
DI Yogyakarta;9,89;99,93;99,07;-1.4851831;102.4380581
DKI Jakarta;20,47;99,95;98,37;-3.3194374;103.914399
Gorontalo;25,79;99,87;90,8;-3.5778471;102.3463875
Jambi;21,76;99,93;91,03;-4.5585849;105.4068079
Jawa Barat;26,44;99,97;94,69;-2.7410513;106.4405872
Jawa Tengah;20,32;99,97;96,56;3.9456514;108.1428669
Jawa Timur;20,77;99,95;93,65;-6.211544;106.845172
Kalimantan Barat;24,74;99,87;86,63;-7.090911;107.668887
Kalimantan Selatan;20,54;99,92;94,95;-7.150975;110.1402594
Kalimantan Tengah;23,92;99,86;90,18;-7.8753849;110.4262088
Kalimantan Timur;21,56;99,95;95,78;-7.5360639;112.2384017
Kalimantan Utara;19,8;99,59;94,46;-6.4058172;106.0640179
Kep. Bangka Belitung;24,38;99,85;94,21;-8.4095178;115.188916
Kep. Riau;16,42;99,91;97,33;-8.6529334;117.3616476
Lampung;22,09;99,90;92,42;-8.6573819;121.0793705
Maluku;28,64;99,89;77,55;-0.2787808;111.4752851
Maluku Utara;27,59;99,85;70,33;-1.6814878;113.3823545
Nusa Tenggara Barat;20,78;99,92;88,55;-3.0926415;115.2837585
Nusa Tenggara Timur;18,97;98,97;75,2;1.6406296;116.419389
Papua;18,51;91,13;34,95;5.4204;116.7968
Papua Barat;21,97;99,56;74,27;0.6246932;123.9750018
Riau;21,11;99,93;93,14;-1.4300254;121.4456179
Sulawesi Barat;22,85;99,50;85,15;-3.6687994;119.9740534
Sulawesi Selatan;23,78;99,78;94,1;-4.14491;122.174605
Sulawesi Tengah;22,31;99,82;85,82;0.6999372;122.4467238
Sulawesi Tenggara;19,87;99,91;91,69;-2.8441371;119.2320784
Sulawesi Utara;29,43;99,90;90,53;-3.2384616;130.1452734
Sumatera Barat;18,78;99,89;92,04;1.5709993;127.8087693
Sumatera Selatan;25,38;99,95;90,45;-1.3361154;133.1747162
Sumatera Utara;20,29;99,90;89,79;-4.269928;138.0803529
